year,country,type,latitude,longitude,month,day,elevation,vei,tsu
1727.0,Iceland,Stratovolcano,64.0,-16.65,8.0,3.0,2010.0,4.0,0
1729.0,Iceland,Stratovolcano,64.633,-17.516,2.0,1.0,2000.0,1.0,0
1729.0,Iceland,Caldera,65.715,-16.728,6.0,30.0,800.0,2.0,0
1730.0,Spain,Fissure vent,29.03,-13.63,9.0,1.0,670.0,2.0,0
1737.0,Italy,Complex volcano,40.821,14.426,5.0,20.0,1281.0,3.0,0
1741.0,Japan,Stratovolcano,41.51,139.367,8.0,23.0,732.0,4.0,1
1742.0,Ecuador,Stratovolcano,-0.677,-78.436,6.0,15.0,5911.0,3.0,0
1742.0,Ecuador,Stratovolcano,-0.677,-78.436,12.0,9.0,5911.0,3.0,0
1749.0,Philippines,Stratovolcano,14.011,120.998,8.0,11.0,311.0,3.0,1
1753.0,Iceland,Caldera,64.416,-17.316,10.0,15.0,1719.0,2.0,0
1754.0,Philippines,Stratovolcano,14.011,120.998,11.0,28.0,311.0,4.0,1
1755.0,Iceland,Subglacial volcano,63.633,-19.083,10.0,17.0,1490.0,4.0,0
1757.0,Portugal,Fissure vent,38.65,-28.08,7.0,9.0,1053.0,0.0,0
1766.0,Iceland,Stratovolcano,63.983,-19.666,4.0,5.0,1490.0,4.0,0
1766.0,Philippines,Stratovolcano,13.257,123.685,7.0,20.0,2462.0,3.0,0
1768.0,Ecuador,Stratovolcano,-0.677,-78.436,4.0,4.0,5911.0,4.0,0
1772.0,Indonesia,Stratovolcano,0.81,127.332,5.0,9.0,1714.0,3.0,1
1772.0,Indonesia,Stratovolcano,-7.32,107.73,8.0,12.0,2665.0,3.0,0
1773.0,Indonesia,Stratovolcano,0.81,127.332,2.0,2.0,1714.0,2.0,0
1779.0,Italy,Complex volcano,40.821,14.426,8.0,8.0,1281.0,3.0,0
1779.0,Japan,Stratovolcano,31.577,130.659,11.0,8.0,1117.0,4.0,0
1780.0,Japan,Stratovolcano,31.577,130.659,2.0,9.0,1117.0,4.0,0
1780.0,Japan,Stratovolcano,32.458,139.759,7.0,27.0,423.0,3.0,0
1780.0,Japan,Stratovolcano,31.577,130.659,9.0,9.0,1117.0,4.0,1
1781.0,Japan,Stratovolcano,31.577,130.659,4.0,11.0,1117.0,4.0,1
1783.0,Japan,Stratovolcano,32.458,139.759,4.0,10.0,423.0,3.0,0
1783.0,Japan,Complex volcano,36.406,138.523,8.0,5.0,2568.0,4.0,0
1785.0,Japan,Stratovolcano,32.458,139.759,4.0,18.0,423.0,3.0,0
1792.0,Japan,Complex volcano,32.761,130.299,5.0,21.0,1483.0,2.0,1
1794.0,Italy,Complex volcano,40.821,14.426,6.0,15.0,1281.0,3.0,0
1800.0,Philippines,Stratovolcano,13.257,123.685,10.0,30.0,2462.0,2.0,0
1801.0,Japan,Stratovolcano,39.099,140.049,8.0,14.0,2236.0,2.0,0
1803.0,Japan,Complex volcano,36.406,138.523,7.0,4.0,2568.0,2.0,0
1803.0,Japan,Complex volcano,36.406,138.523,11.0,7.0,2568.0,2.0,0
1805.0,Italy,Complex volcano,40.821,14.426,8.0,11.0,1281.0,2.0,0
1808.0,Portugal,Fissure vent,38.65,-28.08,5.0,1.0,1053.0,1.0,0
1812.0,St. Vincent & the Grenadines,Stratovolcano,13.33,-61.18,4.0,27.0,1220.0,4.0,0
1812.0,Indonesia,Stratovolcano,3.689,125.447,8.0,6.0,1318.0,3.0,0
1814.0,Philippines,Stratovolcano,13.257,123.685,2.0,1.0,2462.0,4.0,0
1815.0,Indonesia,Stratovolcano,-8.25,118.0,4.0,10.0,2850.0,7.0,1
1816.0,Japan,Caldera,32.885,131.085,7.0,5.0,1592.0,2.0,0
1817.0,Indonesia,Stratovolcano,-8.058,114.242,1.0,24.0,2769.0,2.0,0
1818.0,Mexico,Stratovolcano,19.514,-103.62,2.0,5.0,3850.0,4.0,0
1820.0,United States,Stratovolcano,54.516,-164.65,3.0,1.0,1563.0,2.0,1
1820.0,Pacific Ocean,Caldera,-4.523,129.881,6.0,11.0,596.0,2.0,0
1822.0,Japan,Stratovolcano,42.544,140.839,3.0,9.0,733.0,4.0,0
1822.0,Indonesia,Stratovolcano,-7.25,108.058,10.0,8.0,2168.0,5.0,0
1822.0,Indonesia,Stratovolcano,-7.54,110.446,12.0,27.0,2910.0,3.0,0
